dates,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90
03-18,0.21428571428571427,4.15310749255467,12.755287113075825,22.551575624941762,21.796288511865935,30.86291578489987,21.117878723309115,10.255287113075825,12.877967432992037
03-25,5.020500599990904,13.388541659143687,23.725507196324855,49.695727975402946,77.08011618846439,75.34020459993485,64.0070680359569,40.36388651962488,45.13902608216676
04-01,15.75016193822706,33.26170779374108,50.879586417646046,132.9683328777083,215.73775735495187,193.9561962171074,156.162764850274,109.64226395207064,104.28894967051438
04-08,27.062149851093412,75.82450539774274,135.41740609912043,314.9261498687444,504.779193344906,422.85315727240015,349.14490882999627,273.80885797435616,229.7005773746495
04-15,52.124299702186825,109.79024855607202,225.99881749518886,487.23754419320767,768.3295851727827,693.1165383147046,546.420424843031,382.2957460064393,368.33674193800107
04-22,53.52212008166567,130.43342937657496,279.490186527762,585.7151572823134,903.5797463157766,884.8414516244138,734.9441594361639,499.8191579159678,480.44021378400174
04-29,64.59899770439714,153.597110896473,331.624412603788,617.3743619766958,1036.7530887719433,1020.685482613044,851.6956125064248,561.1683190496543,586.8419165059557
05-06,58.971516086086275,154.4337534518374,325.368153960754,598.8538636630003,977.9436346246762,988.0169410576552,766.6106964112239,571.07347121279,611.7496586866829
05-13,47.31840859353161,115.19254635749137,244.7057104024262,487.4812880352774,808.93553572524,782.9092586189427,626.3249339252535,525.1006586268456,581.2419403133098
05-20,33.521472328757426,72.00739231002763,207.47027534119982,347.9741630514991,620.5741241347141,590.4684403120812,452.111241202946,391.73197508320465,462.8094861446466
05-27,25.4647715289669,57.22103027140509,151.8414988134974,248.07213247692496,462.0004305155938,409.6208461854349,294.0939252029912,255.25949034988056,337.536562534903
06-03,24.470220580269785,54.53749560621196,110.74795135325296,221.10768492381635,382.38255576845074,356.129477252266,245.78291160339933,156.35622509407315,237.66820584984063
06-10,28.321914386109754,65.99169290902721,143.8101015025588,274.60035005863085,448.8857948312044,420.14231791776746,271.02859572206927,195.06700511518488,211.31268774279255
